filename,energy untuk sudut 0,energy untuk sudut 45,energy untuk sudut 90,energy untuk sudut 135,contrast untuk sudut 0,contrast untuk sudut 45,contrast untuk sudut 90,contrast untuk sudut 135,dissimilarity untuk sudut 0,dissimilarity untuk sudut 45,dissimilarity untuk sudut 90,dissimilarity untuk sudut 135,correlation untuk sudut 0,correlation untuk sudut 45,correlation untuk sudut 90,correlation untuk sudut 135,homogeneity untuk sudut 0,homogeneity untuk sudut 45,homogeneity untuk sudut 90,homogeneity untuk sudut 135
WBC-Benign-489.jpg,0.4346134936801767,0.3280836614171588,0.3217384419058438,0.3908679799852858,15527.533333333336,27239.416666666668,33829.375,21845.41666666667,80.20000000000003,130.75000000000003,151.625,109.58333333333334,0.19309926473008213,-0.3829106454451016,-0.5146822555408913,-0.28115618222185756,0.40262992992648733,0.2500598957013643,0.1875695370129702,0.33339191511944644
WBC-Benign-421.jpg,0.19436506316151006,0.22047927592204927,0.20252314682524564,0.20412414523193156,21198.333333333332,21511.91666666667,20358.5,17424.16666666667,95.66666666666666,99.41666666666669,98.375,82.50000000000003,-0.24991401251977707,-0.23625808874457022,0.021875130200171383,-0.2457116415960091,0.11559078213252569,0.015172737708463689,0.07442456452170398,0.03081938456123093
WBC-Benign-492.jpg,0.22607766610417565,0.26352313834736507,0.2209708691207961,0.26352313834736507,25373.266666666677,30749.333333333347,38934.625,32121.33333333335,108.06666666666668,137.6666666666667,170.375,141.83333333333337,0.08874220155450549,-0.10900548002845203,-0.406918972816849,-0.14948488451154485,0.18351326060219816,0.21157054569939934,0.08128733093510693,0.18825913666910835
WBC-Benign-487.jpg,0.22607766610417565,0.25000000000000006,0.21650635094610965,0.22047927592204927,12022.8,20824.583333333343,25679.3125,32296.166666666682,73.60000000000001,110.08333333333341,125.4375,155.66666666666666,0.4893840398748306,0.09397151790452707,-0.059902367926441,-0.40373698177629785,0.17409395513772175,0.17174403233156638,0.13199636344218285,0.0009033269285079325
WBC-Benign-423.jpg,0.22110831935702668,0.2429563289518876,0.2209708691207961,0.2568505834570408,30856.4,32603.500000000015,33133.875,29352.833333333347,134.26666666666674,142.83333333333334,142.125,129.50000000000003,-0.12374028802573182,-0.22846903723737183,-0.21768850453926855,-0.06363102430785356,0.23772966746837457,0.15835417777703933,0.09266645121123167,0.09828357370702205
WBC-Benign-414.jpg,0.253859103528797,0.28867513459481287,0.30618621784789724,0.32274861218395134,34439.06666666667,33736.00000000001,22875.625,25986.250000000007,158.40000000000003,153.33333333333337,112.375,119.75000000000001,-0.3532479879735974,-0.26494254100661424,0.06584556054275187,-0.03198658700390544,0.13347541275494096,0.16682109946178264,0.26262158473301855,0.3356047264016635
WBC-Benign-469.jpg,0.2666666666666667,0.22047927592204927,0.2072890493972125,0.24295632895188757,17980.800000000007,28607.16666666668,28381.25,38382.16666666668,87.20000000000002,129.3333333333334,126.0,167.50000000000003,0.3099700667741193,-0.4039418033597007,-0.16549009744072132,-0.5646295555028383,0.2675529327991507,0.0605733563032846,0.15937504514835582,0.08602762020408859
WBC-Benign-455.jpg,0.20000000000000004,0.21245914639969943,0.2209708691207961,0.22821773229381928,33073.933333333334,21848.333333333343,28641.3125,30117.916666666675,149.26666666666668,113.50000000000004,139.4375,144.9166666666667,-0.2878743760741285,0.11902424436229386,-0.2013714508923762,-0.22238574325806906,0.07648484098401528,0.12798386329067715,0.18830011860857315,0.0866091090258324
WBC-Benign-446.jpg,0.1825741858350554,0.20412414523193156,0.18221724671391565,0.20412414523193156,15371.733333333332,13098.916666666666,4791.625,15847.500000000005,80.80000000000001,68.75000000000001,36.75,86.33333333333334,-0.17193090885433615,-0.03862142218216087,0.5078599988605789,-0.2694983066235274,0.05515445680311957,0.045461184603010914,0.09734341475358707,0.002251812542552241
WBC-Benign-460.jpg,0.2581988897471612,0.27638539919628335,0.2538762001448738,0.24295632895188757,32386.866666666672,39097.50000000001,27983.1875,29533.16666666668,146.20000000000002,163.0,123.1875,133.66666666666669,-0.20066097733397736,-0.42061732575608873,0.013964134933254968,-0.08326252147280516,0.11062277306537174,0.18343797570768045,0.2195276158433841,0.18336248105115163
WBC-Benign-457.jpg,0.1885618083164127,0.263523138347365,0.19764235376052372,0.20412414523193156,16111.266666666672,22518.500000000007,21045.3125,19429.916666666675,73.40000000000002,107.00000000000003,98.9375,91.41666666666671,0.12023162560817192,-0.19451328946243912,-0.2013280253644416,-0.22981534361568368,0.09089966324678708,0.009911692776181506,0.011597559698494807,0.0032868857400394727
WBC-Benign-399.jpg,0.21081851067789198,0.22821773229381925,0.21194781197266463,0.21245914639969943,23647.000000000007,7997.583333333337,25899.8125,23088.833333333343,120.46666666666665,57.08333333333333,128.8125,117.00000000000004,-0.06988155459109044,0.6482215847366339,-0.13263773480379376,-0.019923027038700608,0.1533607252708471,0.146041011300852,0.21252522895793644,0.13827076194960555
WBC-Benign-478.jpg,0.253859103528797,0.2763853991962833,0.3125,0.3280836614171588,37046.33333333335,31175.91666666668,34762.5,31211.750000000007,149.66666666666669,126.08333333333336,139.875,125.41666666666667,-0.211511842451318,-0.032042800516557994,-0.1222816902829413,-0.0006475444573166266,0.19334306196442416,0.2311920349524973,0.40625911388974845,0.3166746789501305
WBC-Benign-499.jpg,0.22110831935702668,0.25000000000000006,0.19764235376052372,0.2204792759220493,33859.73333333334,8035.4166666666715,34016.1875,23606.666666666682,155.73333333333335,53.75000000000004,168.3125,127.3333333333334,-0.4628869091280559,0.6303255713204718,-0.6323490694892518,-0.07242706280747388,0.07188169256036495,0.18049534426731917,0.0005968673609335406,0.042497406845558874
WBC-Benign-483.jpg,0.23570226039551587,0.3818813079129867,0.25,0.30618621784789757,36867.600000000006,25230.66666666668,26136.0,20524.66666666668,161.20000000000005,115.50000000000003,120.125,98.16666666666671,-0.3286851619657444,0.061874878642280765,0.04025970933600096,0.24220307215802314,0.1362601481369644,0.34169746330695844,0.15819239445136146,0.30868133094558525
WBC-Benign-473.jpg,0.24494897427831785,0.26352313834736507,0.2538762001448738,0.3004626062886658,30346.800000000007,23108.500000000007,30990.1875,38207.833333333336,135.6,111.33333333333337,142.9375,163.83333333333337,-0.09525324973428832,0.12695388441851127,-0.16432591576789674,-0.447678448043135,0.2333615577336181,0.18883811762951394,0.06985974098365438,0.01765826789419755
